"formA","formB","scaled"
68,67,191.945306625598
82,72,227.953249927298
52,51,150.793371423654
61,64,173.941334974747
71,69,199.661294475962
61,53,173.941334974747
77,70,215.093270176691
69,71,194.517302575719
61,61,173.941334974747
66,65,186.801314725355
67,63,189.373310675476
84,78,233.097241827541
67,65,189.373310675476
74,67,207.377282326327
56,54,161.08135522414
53,45,153.365367373775
77,72,215.093270176691
63,60,179.08532687499
75,76,209.949278276448
68,65,191.945306625598
56,53,161.08135522414
60,56,171.369339024626
66,61,186.801314725355
58,57,166.225347124383
56,60,161.08135522414
46,46,135.361395722925
81,69,225.381253977177
70,60,197.089298525841
68,72,191.945306625598
51,44,148.221375473532
57,56,163.653351174261
82,74,227.953249927298
54,50,155.937363323897
71,65,199.661294475962
43,38,127.645407872561
66,64,186.801314725355
62,55,176.513330924869
41,48,122.501415972318
64,61,181.657322825112
79,70,220.237262076934
53,63,153.365367373775
52,62,150.793371423654
81,70,225.381253977177
78,70,217.665266126812
66,70,186.801314725355
59,50,168.797343074504
61,50,173.941334974747
61,53,173.941334974747
59,55,168.797343074504
67,58,189.373310675476
49,50,143.07738357329
65,62,184.229318775233
57,53,163.653351174261
49,50,143.07738357329
50,47,145.649379523411
48,50,140.505387623168
59,57,168.797343074504
53,53,153.365367373775
47,56,137.933391673047
46,45,135.361395722925
58,43,166.225347124383
71,60,199.661294475962
60,67,171.369339024626
88,69,243.385225628027
55,49,158.509359274018
58,55,166.225347124383
66,61,186.801314725355
52,49,150.793371423654
65,66,184.229318775233
52,44,150.793371423654
66,69,186.801314725355
63,63,179.08532687499
53,46,153.365367373775
83,85,230.52524587742
40,38,119.929420022196
39,52,117.357424072075
64,53,181.657322825112
64,66,181.657322825112
67,68,189.373310675476
70,60,197.089298525841
77,78,215.093270176691
58,64,166.225347124383
73,68,204.805286376205
59,51,168.797343074504
60,66,171.369339024626
58,54,166.225347124383
59,52,168.797343074504
59,47,168.797343074504
70,65,197.089298525841
70,71,197.089298525841
67,58,189.373310675476
56,51,161.08135522414
59,59,168.797343074504
45,42,132.789399772804
75,69,209.949278276448
46,42,135.361395722925
33,29,101.925448371346
55,52,158.509359274018
59,51,168.797343074504
70,66,197.089298525841
59,56,168.797343074504
74,71,207.377282326327
76,70,212.521274226569
77,78,215.093270176691
68,83,191.945306625598
87,83,240.813229677906
73,69,204.805286376205
77,66,215.093270176691
76,65,212.521274226569
69,60,194.517302575719
77,77,215.093270176691
60,51,171.369339024626
79,82,220.237262076934
87,81,240.813229677906
78,70,217.665266126812
76,77,212.521274226569
87,75,240.813229677906
66,62,186.801314725355
76,74,212.521274226569
65,61,184.229318775233
85,88,235.669237777663
80,77,222.809258027055
77,79,215.093270176691
71,61,199.661294475962
67,63,189.373310675476
79,70,220.237262076934
76,77,212.521274226569
79,81,220.237262076934
83,73,230.52524587742
83,82,230.52524587742
80,67,222.809258027055
66,53,186.801314725355
73,69,204.805286376205
73,78,204.805286376205
67,70,189.373310675476
68,61,191.945306625598
65,59,184.229318775233
78,68,217.665266126812
72,62,202.233290426084
65,72,184.229318775233
75,76,209.949278276448
70,67,197.089298525841
63,58,179.08532687499
65,62,184.229318775233
58,57,166.225347124383
74,74,207.377282326327
67,68,189.373310675476
69,73,194.517302575719
83,75,230.52524587742
61,54,173.941334974747
53,54,153.365367373775
72,64,202.233290426084
72,69,202.233290426084
67,65,189.373310675476
66,59,186.801314725355
67,61,189.373310675476
52,46,150.793371423654
78,77,217.665266126812
52,53,150.793371423654
64,63,181.657322825112
77,81,215.093270176691
72,68,202.233290426084
62,65,176.513330924869
66,63,186.801314725355
69,57,194.517302575719
66,68,186.801314725355
62,66,176.513330924869
61,61,173.941334974747
66,69,186.801314725355
77,64,215.093270176691
54,48,155.937363323897
70,69,197.089298525841
73,68,204.805286376205
66,63,186.801314725355
46,49,135.361395722925
60,53,171.369339024626
50,48,145.649379523411
76,66,212.521274226569
72,67,202.233290426084
69,70,194.517302575719
58,59,166.225347124383
62,51,176.513330924869
76,71,212.521274226569
76,69,212.521274226569
64,57,181.657322825112
67,57,189.373310675476
72,71,202.233290426084
65,68,184.229318775233
54,58,155.937363323897
83,75,230.52524587742
57,53,163.653351174261
82,73,227.953249927298
74,69,207.377282326327
58,44,166.225347124383
74,71,207.377282326327
84,75,233.097241827541
78,71,217.665266126812
73,71,204.805286376205
55,55,158.509359274018
50,51,145.649379523411
56,48,161.08135522414
47,48,137.933391673047
52,41,150.793371423654
64,57,181.657322825112
43,43,127.645407872561
73,70,204.805286376205
60,57,171.369339024626
42,43,125.073411922439
56,48,161.08135522414
51,50,148.221375473532
62,60,176.513330924869
59,49,168.797343074504
62,56,176.513330924869
53,53,153.365367373775
66,62,186.801314725355
67,61,189.373310675476
61,61,173.941334974747
53,57,153.365367373775
40,38,119.929420022196
72,71,202.233290426084
57,55,163.653351174261
55,65,158.509359274018
64,63,181.657322825112
70,61,197.089298525841
60,54,171.369339024626
46,44,135.361395722925
54,53,155.937363323897
73,65,204.805286376205
76,71,212.521274226569
55,51,158.509359274018
80,71,222.809258027055
64,61,181.657322825112
56,53,161.08135522414
60,54,171.369339024626
78,68,217.665266126812
70,71,197.089298525841
75,63,209.949278276448
85,81,235.669237777663
63,55,179.08532687499
64,55,181.657322825112
57,50,163.653351174261
47,52,137.933391673047
67,61,189.373310675476
54,52,155.937363323897
48,39,140.505387623168
64,59,181.657322825112
78,71,217.665266126812
68,69,191.945306625598
59,57,168.797343074504
58,57,166.225347124383
76,67,212.521274226569
87,78,240.813229677906
62,65,176.513330924869
70,69,197.089298525841
72,74,202.233290426084
66,66,186.801314725355
43,42,127.645407872561
55,62,158.509359274018
53,64,153.365367373775
52,55,150.793371423654
59,58,168.797343074504
48,38,140.505387623168
62,58,176.513330924869
48,41,140.505387623168
84,85,233.097241827541
51,57,148.221375473532
43,42,127.645407872561
43,40,127.645407872561
50,48,145.649379523411
47,45,137.933391673047
54,52,155.937363323897
46,47,135.361395722925
53,52,153.365367373775
67,67,189.373310675476
56,55,161.08135522414
76,71,212.521274226569
53,56,153.365367373775
58,53,166.225347124383
65,59,184.229318775233
65,64,184.229318775233
55,52,158.509359274018
47,51,137.933391673047
59,59,168.797343074504
66,62,186.801314725355
55,46,158.509359274018
65,50,184.229318775233
50,47,145.649379523411
57,43,163.653351174261
55,59,158.509359274018
78,77,217.665266126812
59,62,168.797343074504
56,54,161.08135522414
73,63,204.805286376205
48,50,140.505387623168
36,37,109.64143622171
65,57,184.229318775233
50,51,145.649379523411
74,63,207.377282326327
67,70,189.373310675476
87,67,240.813229677906
71,70,199.661294475962
59,62,168.797343074504
69,69,194.517302575719
70,56,197.089298525841
59,54,168.797343074504
56,53,161.08135522414
65,61,184.229318775233
47,47,137.933391673047
40,38,119.929420022196
75,62,209.949278276448
53,53,153.365367373775
46,51,135.361395722925
60,58,171.369339024626
46,45,135.361395722925
71,64,199.661294475962
67,58,189.373310675476
65,55,184.229318775233
68,65,191.945306625598
60,63,171.369339024626
64,52,181.657322825112
54,52,155.937363323897
62,60,176.513330924869
52,47,150.793371423654
50,44,145.649379523411
65,64,184.229318775233
66,58,186.801314725355
79,67,220.237262076934
60,63,171.369339024626
58,60,166.225347124383
46,44,135.361395722925
85,88,235.669237777663
66,71,186.801314725355
73,58,204.805286376205
59,54,168.797343074504
62,62,176.513330924869
46,40,135.361395722925
81,72,225.381253977177
67,60,189.373310675476
66,79,186.801314725355
60,57,171.369339024626
71,68,199.661294475962
57,51,163.653351174261
60,56,171.369339024626
62,61,176.513330924869
46,57,135.361395722925
51,36,148.221375473532
70,63,197.089298525841
68,74,191.945306625598
77,67,215.093270176691
56,55,161.08135522414
67,65,189.373310675476
65,60,184.229318775233
68,66,191.945306625598
62,64,176.513330924869
77,70,215.093270176691
77,66,215.093270176691
51,43,148.221375473532
67,69,189.373310675476
61,51,173.941334974747
60,54,171.369339024626
66,64,186.801314725355
59,56,168.797343074504
49,41,143.07738357329
56,47,161.08135522414
65,67,184.229318775233
59,57,168.797343074504
59,55,168.797343074504
70,63,197.089298525841
60,61,171.369339024626
57,55,163.653351174261
53,62,153.365367373775
63,65,179.08532687499
49,46,143.07738357329
63,57,179.08532687499
42,49,125.073411922439
70,59,197.089298525841
62,68,176.513330924869
59,56,168.797343074504
53,60,153.365367373775
52,44,150.793371423654
62,58,176.513330924869
76,66,212.521274226569
69,63,194.517302575719
58,48,166.225347124383
72,65,202.233290426084
62,65,176.513330924869
44,39,130.217403822682
67,61,189.373310675476
72,70,202.233290426084
67,57,189.373310675476
44,49,130.217403822682
49,42,143.07738357329
51,38,148.221375473532
66,55,186.801314725355
54,46,155.937363323897
46,51,135.361395722925
68,61,191.945306625598
59,56,168.797343074504
60,59,171.369339024626
52,36,150.793371423654
41,50,122.501415972318
49,35,143.07738357329
48,48,140.505387623168
51,51,148.221375473532
48,46,140.505387623168
55,64,158.509359274018
65,49,184.229318775233
66,67,186.801314725355
64,55,181.657322825112
63,69,179.08532687499
46,40,135.361395722925
48,46,140.505387623168
62,54,176.513330924869
58,61,166.225347124383
53,47,153.365367373775
45,45,132.789399772804
87,79,240.813229677906
72,66,202.233290426084
54,51,155.937363323897
52,54,150.793371423654
83,85,230.52524587742
64,60,181.657322825112
72,66,202.233290426084
75,64,209.949278276448
74,64,207.377282326327
66,65,186.801314725355
52,51,150.793371423654
73,74,204.805286376205
59,51,168.797343074504
35,47,107.069440271589
68,66,191.945306625598
42,42,125.073411922439
45,41,132.789399772804
53,45,153.365367373775
54,61,155.937363323897
57,47,163.653351174261
50,54,145.649379523411
55,56,158.509359274018
56,61,161.08135522414
64,56,181.657322825112
65,66,184.229318775233
53,47,153.365367373775
44,52,130.217403822682
59,51,168.797343074504
61,47,173.941334974747
37,45,112.213432171832
44,47,130.217403822682
57,53,163.653351174261
73,62,204.805286376205
77,70,215.093270176691
45,49,132.789399772804
68,65,191.945306625598
48,48,140.505387623168
65,59,184.229318775233
49,48,143.07738357329
46,36,135.361395722925
65,61,184.229318775233
46,55,135.361395722925
76,68,212.521274226569
76,68,212.521274226569
54,50,155.937363323897
57,52,163.653351174261
74,71,207.377282326327
46,45,135.361395722925
46,43,135.361395722925
47,47,137.933391673047
46,43,135.361395722925
29,29,91.6374645708599
57,62,163.653351174261
53,56,153.365367373775
73,76,204.805286376205
57,48,163.653351174261
53,48,153.365367373775
78,66,217.665266126812
78,73,217.665266126812
56,70,161.08135522414
74,73,207.377282326327
74,66,207.377282326327
59,54,168.797343074504
60,71,171.369339024626
83,79,230.52524587742
85,77,235.669237777663
66,67,186.801314725355
75,70,209.949278276448
60,62,171.369339024626
64,57,181.657322825112
41,39,122.501415972318
78,75,217.665266126812
77,69,215.093270176691
76,71,212.521274226569
83,79,230.52524587742
70,67,197.089298525841
74,70,207.377282326327
68,66,191.945306625598
73,76,204.805286376205
83,75,230.52524587742
71,67,199.661294475962
56,51,161.08135522414
81,69,225.381253977177
55,61,158.509359274018
51,55,148.221375473532
61,60,173.941334974747
51,55,148.221375473532
66,65,186.801314725355
69,66,194.517302575719
80,75,222.809258027055
65,62,184.229318775233
62,65,176.513330924869
61,58,173.941334974747
53,50,153.365367373775
62,64,176.513330924869
69,72,194.517302575719
74,66,207.377282326327
83,71,230.52524587742
63,63,179.08532687499
81,67,225.381253977177
56,54,161.08135522414
53,58,153.365367373775
67,65,189.373310675476
63,54,179.08532687499
67,62,189.373310675476
73,71,204.805286376205
64,66,181.657322825112
66,53,186.801314725355
76,71,212.521274226569
63,58,179.08532687499
65,66,184.229318775233
64,67,181.657322825112
90,79,248.52921752827
75,64,209.949278276448
70,73,197.089298525841
71,63,199.661294475962
60,65,171.369339024626
52,53,150.793371423654
54,56,155.937363323897
49,45,143.07738357329
58,52,166.225347124383
72,77,202.233290426084
60,57,171.369339024626
62,55,176.513330924869
59,51,168.797343074504
52,57,150.793371423654
61,61,173.941334974747
62,60,176.513330924869
67,67,189.373310675476
55,51,158.509359274018
51,49,148.221375473532
70,57,197.089298525841
56,49,161.08135522414
56,57,161.08135522414
69,72,194.517302575719
51,50,148.221375473532
60,49,171.369339024626
48,58,140.505387623168
45,47,132.789399772804
70,66,197.089298525841
51,65,148.221375473532
68,65,191.945306625598
51,45,148.221375473532
73,70,204.805286376205
75,64,209.949278276448
63,57,179.08532687499
79,66,220.237262076934
71,58,199.661294475962
58,56,166.225347124383
71,63,199.661294475962
64,63,181.657322825112
56,56,161.08135522414
69,68,194.517302575719
57,52,163.653351174261
76,71,212.521274226569
58,55,166.225347124383
68,67,191.945306625598
83,59,230.52524587742
66,65,186.801314725355
63,64,179.08532687499
65,62,184.229318775233
64,67,181.657322825112
59,62,168.797343074504
78,77,217.665266126812
74,69,207.377282326327
58,59,166.225347124383
47,49,137.933391673047
79,78,220.237262076934
71,58,199.661294475962
67,71,189.373310675476
63,56,179.08532687499
52,50,150.793371423654
70,70,197.089298525841
56,55,161.08135522414
84,95,233.097241827541
84,78,233.097241827541
71,62,199.661294475962
80,74,222.809258027055
57,49,163.653351174261
68,61,191.945306625598
54,53,155.937363323897
67,65,189.373310675476
70,73,197.089298525841
74,77,207.377282326327
70,71,197.089298525841
84,75,233.097241827541
81,70,225.381253977177
71,62,199.661294475962
80,75,222.809258027055
90,76,248.52921752827
71,73,199.661294475962
66,68,186.801314725355
61,58,173.941334974747
69,66,194.517302575719
78,97,217.665266126812
75,79,209.949278276448
77,79,215.093270176691
64,74,181.657322825112
67,69,189.373310675476
76,74,212.521274226569
72,77,202.233290426084
77,81,215.093270176691
64,49,181.657322825112
80,76,222.809258027055
79,84,220.237262076934
73,70,204.805286376205
65,66,184.229318775233
74,66,207.377282326327
74,69,207.377282326327
67,70,189.373310675476
83,75,230.52524587742
73,75,204.805286376205
73,80,204.805286376205
65,62,184.229318775233
69,70,194.517302575719
68,74,191.945306625598
61,57,173.941334974747
77,74,215.093270176691
82,86,227.953249927298
85,80,235.669237777663
82,72,227.953249927298
54,62,155.937363323897
44,45,130.217403822682
57,43,163.653351174261
44,45,130.217403822682
52,51,150.793371423654
58,44,166.225347124383
72,71,202.233290426084
69,74,194.517302575719
43,38,127.645407872561
56,57,161.08135522414
73,71,204.805286376205
47,50,137.933391673047
58,53,166.225347124383
51,52,148.221375473532
45,43,132.789399772804
49,43,143.07738357329
51,42,148.221375473532
62,67,176.513330924869
50,52,145.649379523411
62,58,176.513330924869
42,38,125.073411922439
43,41,127.645407872561
51,46,148.221375473532
54,55,155.937363323897
73,74,204.805286376205
62,53,176.513330924869
58,56,166.225347124383
55,52,158.509359274018
56,45,161.08135522414
58,52,166.225347124383
60,53,171.369339024626
67,57,189.373310675476
62,60,176.513330924869
62,53,176.513330924869
67,67,189.373310675476
57,54,163.653351174261
63,68,179.08532687499
88,75,243.385225628027
65,59,184.229318775233
54,52,155.937363323897
70,65,197.089298525841
54,49,155.937363323897
58,52,166.225347124383
67,60,189.373310675476
62,56,176.513330924869
67,70,189.373310675476
70,73,197.089298525841
56,52,161.08135522414
60,61,171.369339024626
60,63,171.369339024626
78,72,217.665266126812
61,58,173.941334974747
65,66,184.229318775233
72,65,202.233290426084
72,67,202.233290426084
52,44,150.793371423654
56,53,161.08135522414
67,58,189.373310675476
46,46,135.361395722925
66,58,186.801314725355
58,49,166.225347124383
51,56,148.221375473532
64,55,181.657322825112
53,46,153.365367373775
61,60,173.941334974747
69,77,194.517302575719
66,63,186.801314725355
70,71,197.089298525841
81,72,225.381253977177
70,63,197.089298525841
55,48,158.509359274018
58,49,166.225347124383
64,57,181.657322825112
67,65,189.373310675476
58,56,166.225347124383
67,74,189.373310675476
61,55,173.941334974747
63,62,179.08532687499
67,63,189.373310675476
55,54,158.509359274018
74,61,207.377282326327
55,52,158.509359274018
66,73,186.801314725355
65,59,184.229318775233
64,69,181.657322825112
64,58,181.657322825112
42,50,125.073411922439
64,60,181.657322825112
73,68,204.805286376205
57,54,163.653351174261
66,63,186.801314725355
56,42,161.08135522414
70,73,197.089298525841
59,67,168.797343074504
46,53,135.361395722925
61,62,173.941334974747
67,58,189.373310675476
81,78,225.381253977177
66,63,186.801314725355
50,59,145.649379523411
60,64,171.369339024626
78,77,217.665266126812
78,72,217.665266126812
49,46,143.07738357329
70,68,197.089298525841
66,62,186.801314725355
63,64,179.08532687499
56,62,161.08135522414
79,78,220.237262076934
80,75,222.809258027055
60,52,171.369339024626
66,65,186.801314725355
65,62,184.229318775233
64,82,181.657322825112
59,57,168.797343074504
75,72,209.949278276448
75,75,209.949278276448
65,65,184.229318775233
57,51,163.653351174261
50,54,145.649379523411
64,64,181.657322825112
58,54,166.225347124383
57,56,163.653351174261
43,51,127.645407872561
62,60,176.513330924869
54,55,155.937363323897
53,59,153.365367373775
70,58,197.089298525841
67,63,189.373310675476
81,80,225.381253977177
64,64,181.657322825112
60,59,171.369339024626
66,59,186.801314725355
54,49,155.937363323897
71,69,199.661294475962
75,69,209.949278276448
66,60,186.801314725355
62,56,176.513330924869
63,53,179.08532687499
58,57,166.225347124383
81,79,225.381253977177
71,65,199.661294475962
59,57,168.797343074504
73,61,204.805286376205
59,52,168.797343074504
57,47,163.653351174261
60,67,171.369339024626
61,56,173.941334974747
48,58,140.505387623168
66,63,186.801314725355
69,68,194.517302575719
64,66,181.657322825112
64,60,181.657322825112
57,50,163.653351174261
40,50,119.929420022196
65,54,184.229318775233
69,55,194.517302575719
58,59,166.225347124383
70,71,197.089298525841
55,55,158.509359274018
70,70,197.089298525841
72,76,202.233290426084
56,56,161.08135522414
71,64,199.661294475962
68,72,191.945306625598
56,56,161.08135522414
76,74,212.521274226569
80,76,222.809258027055
50,51,145.649379523411
77,78,215.093270176691
71,68,199.661294475962
66,66,186.801314725355
72,52,202.233290426084
61,50,173.941334974747
68,59,191.945306625598
76,66,212.521274226569
72,60,202.233290426084
81,82,225.381253977177
64,61,181.657322825112
70,68,197.089298525841
66,62,186.801314725355
68,66,191.945306625598
57,53,163.653351174261
77,63,215.093270176691
70,66,197.089298525841
64,62,181.657322825112
71,69,199.661294475962
71,62,199.661294475962
88,86,243.385225628027
58,58,166.225347124383
64,68,181.657322825112
63,63,179.08532687499
75,59,209.949278276448
81,73,225.381253977177
63,63,179.08532687499
74,67,207.377282326327
75,64,209.949278276448
50,52,145.649379523411
34,45,104.497444321467
46,42,135.361395722925
62,60,176.513330924869
47,47,137.933391673047
36,49,109.64143622171
48,51,140.505387623168
64,61,181.657322825112
53,50,153.365367373775
49,44,143.07738357329
58,52,166.225347124383
58,51,166.225347124383
48,42,140.505387623168
50,37,145.649379523411
46,33,135.361395722925
60,60,171.369339024626
46,46,135.361395722925
61,60,173.941334974747
61,62,173.941334974747
62,57,176.513330924869
49,42,143.07738357329
49,42,143.07738357329
44,37,130.217403822682
65,65,184.229318775233
52,48,150.793371423654
48,49,140.505387623168
56,53,161.08135522414
64,61,181.657322825112
51,38,148.221375473532
63,69,179.08532687499
56,53,161.08135522414
57,52,163.653351174261
54,45,155.937363323897
63,64,179.08532687499
41,44,122.501415972318
77,64,215.093270176691
48,42,140.505387623168
67,68,189.373310675476
48,44,140.505387623168
62,59,176.513330924869
52,46,150.793371423654
70,66,197.089298525841
66,64,186.801314725355
71,67,199.661294475962
41,51,122.501415972318
42,38,125.073411922439
35,33,107.069440271589
52,56,150.793371423654
70,68,197.089298525841
63,51,179.08532687499
52,47,150.793371423654
56,61,161.08135522414
65,59,184.229318775233
63,54,179.08532687499
40,44,119.929420022196
63,67,179.08532687499
77,74,215.093270176691
55,57,158.509359274018
73,56,204.805286376205
55,49,158.509359274018
42,40,125.073411922439
68,54,191.945306625598
61,54,173.941334974747
50,55,145.649379523411
57,55,163.653351174261
62,63,176.513330924869
72,74,202.233290426084
73,74,204.805286376205
79,76,220.237262076934
79,80,220.237262076934
78,76,217.665266126812
74,69,207.377282326327
66,63,186.801314725355
75,70,209.949278276448
46,51,135.361395722925
65,74,184.229318775233
76,67,212.521274226569
74,71,207.377282326327
72,69,202.233290426084
89,85,245.957221578149
74,71,207.377282326327
73,64,204.805286376205
63,56,179.08532687499
84,83,233.097241827541
58,55,166.225347124383
53,57,153.365367373775
80,80,222.809258027055
53,50,153.365367373775
76,72,212.521274226569
83,72,230.52524587742
79,77,220.237262076934
78,81,217.665266126812
93,88,256.245205378635
84,81,233.097241827541
61,59,173.941334974747
71,68,199.661294475962
81,80,225.381253977177
77,73,215.093270176691
76,81,212.521274226569
58,53,166.225347124383
53,53,153.365367373775
62,69,176.513330924869
69,74,194.517302575719
57,58,163.653351174261
66,69,186.801314725355
75,57,209.949278276448
72,67,202.233290426084
64,51,181.657322825112
70,72,197.089298525841
55,65,158.509359274018
63,60,179.08532687499
79,84,220.237262076934
74,76,207.377282326327
69,75,194.517302575719
70,68,197.089298525841
60,61,171.369339024626
62,60,176.513330924869
87,77,240.813229677906
78,75,217.665266126812
71,66,199.661294475962
70,59,197.089298525841
68,66,191.945306625598
71,72,199.661294475962
39,52,117.357424072075
60,63,171.369339024626
55,56,158.509359274018
65,62,184.229318775233
68,64,191.945306625598
75,71,209.949278276448
84,77,233.097241827541
76,62,212.521274226569
77,68,215.093270176691
69,61,194.517302575719
39,38,117.357424072075
86,84,238.241233727784
80,82,222.809258027055
75,71,209.949278276448
77,76,215.093270176691
61,68,173.941334974747
77,83,215.093270176691
82,66,227.953249927298
75,70,209.949278276448
88,77,243.385225628027
78,79,217.665266126812
84,83,233.097241827541
66,64,186.801314725355
76,71,212.521274226569
71,71,199.661294475962
71,66,199.661294475962
79,74,220.237262076934
74,72,207.377282326327
60,56,171.369339024626
54,49,155.937363323897
62,52,176.513330924869
60,51,171.369339024626
71,71,199.661294475962
61,67,173.941334974747
70,70,197.089298525841
63,73,179.08532687499
71,64,199.661294475962
67,69,189.373310675476
63,65,179.08532687499
61,60,173.941334974747
61,59,173.941334974747
43,33,127.645407872561
65,59,184.229318775233
71,63,199.661294475962
67,57,189.373310675476
70,74,197.089298525841
59,65,168.797343074504
77,65,215.093270176691
62,61,176.513330924869
83,71,230.52524587742
69,58,194.517302575719
51,58,148.221375473532
71,69,199.661294475962
66,67,186.801314725355
77,65,215.093270176691
53,48,153.365367373775
63,60,179.08532687499
80,71,222.809258027055
56,59,161.08135522414
78,83,217.665266126812
63,64,179.08532687499
72,73,202.233290426084
80,83,222.809258027055
57,51,163.653351174261
80,88,222.809258027055
63,49,179.08532687499
72,72,202.233290426084
66,65,186.801314725355
65,61,184.229318775233
86,83,238.241233727784
87,78,240.813229677906
72,66,202.233290426084
63,63,179.08532687499
59,59,168.797343074504
56,48,161.08135522414
46,41,135.361395722925
60,53,171.369339024626
79,72,220.237262076934
52,58,150.793371423654
52,46,150.793371423654
72,69,202.233290426084
58,51,166.225347124383
58,52,166.225347124383
58,52,166.225347124383
60,56,171.369339024626
79,71,220.237262076934
59,58,168.797343074504
64,68,181.657322825112
66,51,186.801314725355
66,59,186.801314725355
65,51,184.229318775233
59,57,168.797343074504
60,53,171.369339024626
69,60,194.517302575719
67,56,189.373310675476
55,55,158.509359274018
34,39,104.497444321467
58,63,166.225347124383
61,59,173.941334974747
59,66,168.797343074504
79,77,220.237262076934
42,46,125.073411922439
71,71,199.661294475962
60,58,171.369339024626
57,54,163.653351174261
84,70,233.097241827541
57,53,163.653351174261
63,61,179.08532687499
44,39,130.217403822682
60,54,171.369339024626
59,54,168.797343074504
76,80,212.521274226569
84,74,233.097241827541
70,69,197.089298525841
64,63,181.657322825112
68,70,191.945306625598
70,72,197.089298525841
58,56,166.225347124383
56,52,161.08135522414
69,67,194.517302575719
51,48,148.221375473532
49,50,143.07738357329
68,76,191.945306625598
70,70,197.089298525841
69,72,194.517302575719
59,56,168.797343074504
95,88,261.389197278878
60,59,171.369339024626
79,80,220.237262076934
49,48,143.07738357329
89,84,245.957221578149
65,67,184.229318775233
73,66,204.805286376205
68,62,191.945306625598
65,67,184.229318775233
71,71,199.661294475962
68,60,191.945306625598
65,55,184.229318775233
57,62,163.653351174261
53,53,153.365367373775
82,73,227.953249927298
74,75,207.377282326327
65,59,184.229318775233
67,65,189.373310675476
68,70,191.945306625598
62,63,176.513330924869
85,71,235.669237777663
65,66,184.229318775233
44,45,130.217403822682
67,58,189.373310675476
76,70,212.521274226569
74,67,207.377282326327
40,38,119.929420022196
69,62,194.517302575719
56,52,161.08135522414
59,61,168.797343074504
75,75,209.949278276448
77,73,215.093270176691
58,57,166.225347124383
62,64,176.513330924869
65,59,184.229318775233
63,69,179.08532687499
68,63,191.945306625598
95,81,261.389197278878
56,56,161.08135522414
55,51,158.509359274018
50,52,145.649379523411
35,32,107.069440271589
